Path,Mask Path,Species,LAB Color,color_label
flowers/astilbe/1033455028_f0c6518ec9_c.jpg,masks/astilbe_1033455028_f0c6518ec9_c.pt,astilbe,[     173.67      164.94      114.38],pink
flowers/astilbe/10373087134_927b53fb9f_c.jpg,masks/astilbe_10373087134_927b53fb9f_c.pt,astilbe,[     110.18      172.75      114.28],purple
flowers/astilbe/1052212431_4963309d03_c.jpg,masks/astilbe_1052212431_4963309d03_c.pt,astilbe,[     119.31      184.89      162.35],red
flowers/astilbe/1052586928_366c5255b8_c.jpg,masks/astilbe_1052586928_366c5255b8_c.pt,astilbe,[        243      123.26      131.22],white
flowers/astilbe/1052587144_34c9f0714c_c.jpg,masks/astilbe_1052587144_34c9f0714c_c.pt,astilbe,[     55.309      139.94      123.79],maroon
flowers/astilbe/1053073526_188a5b816e_c.jpg,masks/astilbe_1053073526_188a5b816e_c.pt,astilbe,[     168.03      129.61       138.2],pink
flowers/astilbe/1053075100_838051e5b7_c.jpg,masks/astilbe_1053075100_838051e5b7_c.pt,astilbe,[     191.58       141.8      124.19],pink
flowers/astilbe/1053079170_650c3c6af6_c.jpg,masks/astilbe_1053079170_650c3c6af6_c.pt,astilbe,[     207.79      118.76      151.61],white
flowers/astilbe/1053080414_1edf92651d_c.jpg,masks/astilbe_1053080414_1edf92651d_c.pt,astilbe,[     132.74      132.02      141.18],brown
flowers/astilbe/1074784463_46a8df182c_c.jpg,masks/astilbe_1074784463_46a8df182c_c.pt,astilbe,[     132.99       163.9       150.8],red
flowers/astilbe/11018294886_306c3ce9db_c.jpg,masks/astilbe_11018294886_306c3ce9db_c.pt,astilbe,[     101.49       174.5      134.45],red
flowers/astilbe/1114112634_a74a2d9718_c.jpg,masks/astilbe_1114112634_a74a2d9718_c.pt,astilbe,[     177.41         128         128],pink
flowers/astilbe/1126428236_a39cc4f40c_c.jpg,masks/astilbe_1126428236_a39cc4f40c_c.pt,astilbe,[     118.22      160.66      130.17],brown
flowers/astilbe/1187514219_6aa8002901_c.jpg,masks/astilbe_1187514219_6aa8002901_c.pt,astilbe,[     112.75      167.81      102.67],purple
flowers/astilbe/121833397_0139a4bf24_c.jpg,masks/astilbe_121833397_0139a4bf24_c.pt,astilbe,[     185.99      144.59      131.63],pink
flowers/astilbe/1311687757_92d263cf74_c.jpg,masks/astilbe_1311687757_92d263cf74_c.pt,astilbe,[     85.211      160.54      131.02],maroon
flowers/astilbe/1343712578_6357baf6fa_c.jpg,masks/astilbe_1343712578_6357baf6fa_c.pt,astilbe,[     145.43      146.65      118.61],pink
flowers/astilbe/14160356314_4f63e3e5fa_c.jpg,masks/astilbe_14160356314_4f63e3e5fa_c.pt,astilbe,[     224.83      125.05      143.25],white
flowers/astilbe/14206032168_673f1ccf80_c.jpg,masks/astilbe_14206032168_673f1ccf80_c.pt,astilbe,[     206.27      130.27      125.84],white
flowers/astilbe/14342572710_c96900a75b_c.jpg,masks/astilbe_14342572710_c96900a75b_c.pt,astilbe,[     167.37      149.39      115.19],pink
flowers/astilbe/14342606979_0dae7fa598_c.jpg,masks/astilbe_14342606979_0dae7fa598_c.pt,astilbe,[     205.89      124.15      132.54],white
flowers/astilbe/14342611079_9034be04fd_c.jpg,masks/astilbe_14342611079_9034be04fd_c.pt,astilbe,[     91.384       155.6      131.01],maroon
flowers/astilbe/14342758267_5f39de515e_c.jpg,masks/astilbe_14342758267_5f39de515e_c.pt,astilbe,[     110.72      175.93      112.83],purple
flowers/astilbe/14342765107_ee1c6211e4_c.jpg,masks/astilbe_14342765107_ee1c6211e4_c.pt,astilbe,[     205.25      137.74      128.64],white
flowers/astilbe/14365630848_14fe8a2676_c.jpg,masks/astilbe_14365630848_14fe8a2676_c.pt,astilbe,[     218.53      124.33      130.58],white
flowers/astilbe/14373194229_0aa435a43f_c.jpg,masks/astilbe_14373194229_0aa435a43f_c.pt,astilbe,[     123.34      161.71      108.06],purple
flowers/astilbe/14375957730_87938d973c_c.jpg,masks/astilbe_14375957730_87938d973c_c.pt,astilbe,[     122.99      160.53      137.56],brown
flowers/astilbe/143797170_05482613ac_c.jpg,masks/astilbe_143797170_05482613ac_c.pt,astilbe,[     182.38      129.85      129.32],pink
flowers/astilbe/14391599934_1c14b12361_c.jpg,masks/astilbe_14391599934_1c14b12361_c.pt,astilbe,[     186.79      125.54      130.19],pink
flowers/astilbe/14399713267_84b94622ed_c.jpg,masks/astilbe_14399713267_84b94622ed_c.pt,astilbe,[     80.906       156.6      125.83],maroon
flowers/astilbe/14401005141_658fe992f7_c.jpg,masks/astilbe_14401005141_658fe992f7_c.pt,astilbe,[     185.66      149.85       122.2],pink
flowers/astilbe/14413059366_7e8f031b74_c.jpg,masks/astilbe_14413059366_7e8f031b74_c.pt,astilbe,[     240.84      125.25      133.07],white
flowers/astilbe/14422452866_6c65b0ffff_c.jpg,masks/astilbe_14422452866_6c65b0ffff_c.pt,astilbe,[     123.67      173.93      117.51],purple
flowers/astilbe/14422453816_3936e59f6f_c.jpg,masks/astilbe_14422453816_3936e59f6f_c.pt,astilbe,[      115.3      141.54      132.17],brown
flowers/astilbe/14427086722_23db06eeb2_c.jpg,masks/astilbe_14427086722_23db06eeb2_c.pt,astilbe,[     233.73      126.94      131.51],white
flowers/astilbe/14429880291_a01b947f15_c.jpg,masks/astilbe_14429880291_a01b947f15_c.pt,astilbe,[     199.88      156.13      117.96],pink
flowers/astilbe/14434033769_c575e8bee7_c.jpg,masks/astilbe_14434033769_c575e8bee7_c.pt,astilbe,[     118.17       171.1      116.43],purple
flowers/astilbe/14439714103_d28e557603_c.jpg,masks/astilbe_14439714103_d28e557603_c.pt,astilbe,[     150.19      128.26      137.59],brown
flowers/astilbe/14442232811_ca13ba6c37_c.jpg,masks/astilbe_14442232811_ca13ba6c37_c.pt,astilbe,[     92.618      140.27      131.39],brown
flowers/astilbe/14444225312_7e62ac2288_c.jpg,masks/astilbe_14444225312_7e62ac2288_c.pt,astilbe,[     108.81      154.33      137.35],brown
flowers/astilbe/14445581025_4cd8deae96_c.jpg,masks/astilbe_14445581025_4cd8deae96_c.pt,astilbe,[     108.55      167.86       110.4],purple
flowers/astilbe/14478886609_53b374bbd4_c.jpg,masks/astilbe_14478886609_53b374bbd4_c.pt,astilbe,[     162.42      142.49      104.53],pink
flowers/astilbe/14506113506_d38480006b_c.jpg,masks/astilbe_14506113506_d38480006b_c.pt,astilbe,[     215.83      128.93      125.26],white
flowers/astilbe/14513116883_2e99ec5feb_c.jpg,masks/astilbe_14513116883_2e99ec5feb_c.pt,astilbe,[     115.15      126.59      154.02],brown
flowers/astilbe/14515088939_63c21228b0_c.jpg,masks/astilbe_14515088939_63c21228b0_c.pt,astilbe,[     133.78      170.31       139.6],red
flowers/astilbe/14525825511_9540550d85_c.jpg,masks/astilbe_14525825511_9540550d85_c.pt,astilbe,[     106.42      138.46      133.22],brown
flowers/astilbe/14529200855_da4f82715e_c.jpg,masks/astilbe_14529200855_da4f82715e_c.pt,astilbe,[     84.127      176.26       136.3],maroon
flowers/astilbe/14529208575_73de85ab29_c.jpg,masks/astilbe_14529208575_73de85ab29_c.pt,astilbe,[     189.58      126.74      129.63],pink
flowers/astilbe/14529210095_83be78a2cf_c.jpg,masks/astilbe_14529210095_83be78a2cf_c.pt,astilbe,[     194.23      143.12      121.38],pink
flowers/astilbe/14534186052_f4d31bdf01_c.jpg,masks/astilbe_14534186052_f4d31bdf01_c.pt,astilbe,[     153.14      163.75      113.12],pink
