Path,Mask Path,Species,LAB Color
flowers/astilbe/1052587144_34c9f0714c_c.jpg,masks/astilbe_10091895024_a2ea04cda6_c.pt,astilbe,[     55.309      139.94      123.79]
flowers/astilbe/1053073526_188a5b816e_c.jpg,masks/astilbe_1033455028_f0c6518ec9_c.pt,astilbe,[     168.03      129.61       138.2]
flowers/astilbe/1053075100_838051e5b7_c.jpg,masks/astilbe_10373087134_927b53fb9f_c.pt,astilbe,[     191.58       141.8      124.19]
flowers/astilbe/1053079170_650c3c6af6_c.jpg,masks/astilbe_1052212431_4963309d03_c.pt,astilbe,[     207.79      118.76      151.61]
flowers/astilbe/1053080414_1edf92651d_c.jpg,masks/astilbe_1052219251_d03970e956_c.pt,astilbe,[     132.74      132.02      141.18]
flowers/astilbe/1074784463_46a8df182c_c.jpg,masks/astilbe_1052586928_366c5255b8_c.pt,astilbe,[     132.99       163.9       150.8]
flowers/astilbe/11018294886_306c3ce9db_c.jpg,masks/astilbe_1052587144_34c9f0714c_c.pt,astilbe,[     101.49       174.5      134.45]
flowers/astilbe/1114112634_a74a2d9718_c.jpg,masks/astilbe_1053073526_188a5b816e_c.pt,astilbe,[     177.41         128         128]
flowers/astilbe/1126428236_a39cc4f40c_c.jpg,masks/astilbe_1053075100_838051e5b7_c.pt,astilbe,[     118.22      160.66      130.17]
flowers/astilbe/1187514219_6aa8002901_c.jpg,masks/astilbe_1053079170_650c3c6af6_c.pt,astilbe,[     112.75      167.81      102.67]
flowers/astilbe/121833397_0139a4bf24_c.jpg,masks/astilbe_1053080414_1edf92651d_c.pt,astilbe,[     185.99      144.59      131.63]
flowers/astilbe/1311687757_92d263cf74_c.jpg,masks/astilbe_1074784463_46a8df182c_c.pt,astilbe,[     85.211      160.54      131.02]
flowers/astilbe/1343712578_6357baf6fa_c.jpg,masks/astilbe_11018294886_306c3ce9db_c.pt,astilbe,[     145.43      146.65      118.61]
flowers/astilbe/14160356314_4f63e3e5fa_c.jpg,masks/astilbe_1114112634_a74a2d9718_c.pt,astilbe,[     224.83      125.05      143.25]
flowers/astilbe/14206032168_673f1ccf80_c.jpg,masks/astilbe_1126428236_a39cc4f40c_c.pt,astilbe,[     206.27      130.27      125.84]
flowers/astilbe/14342572710_c96900a75b_c.jpg,masks/astilbe_1187514219_6aa8002901_c.pt,astilbe,[     167.37      149.39      115.19]
flowers/astilbe/14342606979_0dae7fa598_c.jpg,masks/astilbe_121833397_0139a4bf24_c.pt,astilbe,[     205.89      124.15      132.54]
flowers/astilbe/14342611079_9034be04fd_c.jpg,masks/astilbe_1311687757_92d263cf74_c.pt,astilbe,[     91.384       155.6      131.01]
flowers/astilbe/14342758267_5f39de515e_c.jpg,masks/astilbe_1343712578_6357baf6fa_c.pt,astilbe,[     110.72      175.93      112.83]
flowers/astilbe/14342765107_ee1c6211e4_c.jpg,masks/astilbe_14160356314_4f63e3e5fa_c.pt,astilbe,[     205.25      137.74      128.64]
